frame,doa
456,[150.]
457,[145.]
458,[149.]
459,[153.]
460,[156.]
461,[154.]
462,[157.]
463,[234.]
464,[170.]
465,[147.]
466,[119.]
467,[237.]
468,[158.]
469,[169.]
470,[172.]
471,[231.]
472,[221.]
473,[234.]
474,[234.]
475,[253.]
476,[238.]
477,[230.]
478,[240.]
479,[254.]
480,[233.]
481,[234.]
482,[253.]
483,[264.]
484,[253.]
485,[232.]
486,[236.]
487,[260.]
488,[253.]
489,[269.]
490,[266.]
491,[230.]
492,[234.]
493,[234.]
494,[235.]
495,[235.]
496,[234.]
497,[233.]
498,[244.]
499,[233.]
500,[211.]
501,[205.]
502,[174.]
503,[232.]
504,[234.]
505,[270.]
506,[199.]
507,[208.]
508,[212.]
509,[202.]
510,[205.]
511,[203.]
512,[203.]
513,[205.]
514,[208.]
515,[197.]
516,[204.]
517,[204.]
518,[202.]
519,[126.]
520,[203.]
521,[203.]
522,[203.]
523,[205.]
524,[215.]
525,[204.]
526,[209.]
527,[210.]
528,[206.]
529,[209.]
530,[203.]
531,[206.]
532,[223.]
533,[221.]
534,[209.]
535,[212.]
536,[216.]
537,[239.]
538,[236.]
539,[113.]
540,[256.]
541,[208.]
542,[207.]
543,[213.]
544,[205.]
545,[205.]
546,[268.]
547,[203.]
548,[201.]
549,[199.]
550,[201.]
551,[206.]
552,[232.]
553,[237.]
554,[246.]
555,[269.]
556,[270.]
557,[67.]
558,[65.]
559,[258.]
560,[208.]
561,[201.]
562,[209.]
563,[272.]
564,[272.]
565,[206.]
566,[224.]
567,[257.]
568,[271.]
569,[237.]
570,[276.]
571,[242.]
572,[242.]
573,[241.]
574,[236.]
575,[116.]
576,[229.]
577,[256.]
578,[241.]
579,[244.]
580,[246.]
581,[243.]
582,[237.]
583,[226.]
584,[243.]
585,[271.]
586,[252.]
587,[240.]
588,[251.]
589,[253.]
590,[258.]
591,[242.]
592,[250.]
593,[246.]
594,[245.]
595,[241.]
596,[248.]
597,[259.]
598,[241.]
599,[250.]
600,[249.]
601,[239.]
602,[241.]
603,[244.]
604,[251.]
605,[243.]
606,[242.]
607,[243.]
608,[236.]
609,[242.]
610,[239.]
611,[239.]
612,[237.]
613,[242.]
614,[250.]
615,[251.]
616,[237.]
617,[237.]
618,[245.]
619,[239.]
620,[233.]
621,[225.]
622,[233.]
623,[230.]
624,[245.]
625,[243.]
626,[224.]
627,[250.]
628,[225.]
629,[228.]
630,[233.]
631,[232.]
632,[248.]
633,[240.]
634,[246.]
635,[66.]
636,[67.]
637,[67.]
638,[66.]
639,[234.]
640,[66.]
641,[67.]
642,[67.]
643,[65.]
644,[67.]
645,[239.]
646,[238.]
647,[236.]
648,[234.]
649,[236.]
650,[233.]
651,[240.]
652,[254.]
653,[250.]
654,[255.]
655,[264.]
656,[277.]
657,[269.]
658,[249.]
659,[226.]
660,[236.]
661,[227.]
662,[236.]
663,[227.]
664,[229.]
665,[240.]
666,[263.]
667,[70.]
668,[64.]
669,[68.]
670,[66.]
671,[66.]
672,[67.]
673,[66.]
674,[65.]
675,[68.]
676,[68.]
677,[66.]
678,[67.]
679,[65.]
680,[67.]
681,[63.]
682,[65.]
683,[62.]
684,[59.]
685,[58.]
686,[56.]
687,[215.]
688,[214.]
689,[211.]
690,[46.]
691,[57.]
692,[58.]
693,[64.]
694,[68.]
695,[70.]
696,[70.]
697,[72.]
698,[70.]
699,[70.]
700,[69.]
701,[69.]
702,[71.]
703,[71.]
704,[71.]
705,[71.]
706,[71.]
707,[70.]
708,[206.]
709,[219.]
710,[232.]
711,[229.]
712,[214.]
713,[206.]
714,[207.]
715,[207.]
716,[207.]
717,[206.]
718,[213.]
719,[208.]
720,[205.]
721,[206.]
722,[214.]
723,[258.]
724,[208.]
725,[202.]
726,[199.]
727,[200.]
728,[200.]
729,[202.]
730,[200.]
731,[196.]
732,[67.]
733,[70.]
734,[65.]
735,[209.]
736,[205.]
737,[209.]
738,[271.]
739,[23.]
740,[209.]
741,[206.]
742,[205.]
743,[200.]
744,[141.]
745,[135.]
746,[133.]
747,[132.]
748,[139.]
749,[140.]
750,[148.]
751,[223.]
752,[209.]
753,[147.]
754,[140.]
755,[136.]
756,[137.]
757,[138.]
758,[141.]
759,[143.]
760,[138.]
761,[139.]
762,[101.]
763,[141.]
764,[148.]
765,[144.]
766,[219.]
767,[220.]
768,[142.]
769,[202.]
770,[225.]
771,[227.]
772,[226.]
773,[228.]
774,[228.]
775,[232.]
776,[235.]
777,[227.]
778,[230.]
779,[228.]
780,[229.]
781,[229.]
782,[222.]
783,[224.]
784,[261.]
785,[41.]
786,[225.]
787,[229.]
788,[227.]
789,[224.]
790,[256.]
791,[235.]
792,[234.]
793,[234.]
794,[246.]
795,[135.]
796,[230.]
797,[137.]
798,[232.]
799,[232.]
800,[133.]
801,[205.]
802,[211.]
803,[213.]
804,[224.]
805,[228.]
806,[239.]
807,[228.]
808,[233.]
809,[231.]
810,[235.]
811,[233.]
812,[214.]
813,[208.]
814,[218.]
815,[233.]
816,[220.]
817,[208.]
818,[131.]
819,[229.]
820,[213.]
821,[205.]
822,[204.]
823,[207.]
824,[206.]
825,[206.]
826,[209.]
827,[206.]
828,[208.]
829,[209.]
830,[212.]
831,[208.]
832,[211.]
833,[211.]
834,[213.]
835,[209.]
836,[215.]
837,[213.]
838,[211.]
839,[214.]
840,[224.]
841,[218.]
842,[214.]
843,[204.]
844,[208.]
845,[263.]
846,[48.]
847,[207.]
848,[207.]
849,[213.]
850,[205.]
851,[212.]
852,[88.]
853,[85.]
854,[87.]
855,[83.]
856,[228.]
857,[340.]
858,[334.]
859,[340.]
860,[333.]
861,[335.]
862,[336.]
863,[334.]
864,[334.]
865,[335.]
866,[333.]
867,[338.]
868,[336.]
869,[336.]
870,[146.]
871,[335.]
872,[143.]
873,[335.]
874,[143.]
875,[68.]
876,[137.]
877,[78.]
878,[81.]
879,[83.]
880,[333.]
881,[337.]
882,[336.]
883,[342.]
884,[340.]
885,[339.]
886,[339.]
887,[336.]
888,[339.]
889,[336.]
890,[338.]
891,[338.]
892,[335.]
893,[334.]
894,[339.]
895,[138.]
896,[138.]
897,[135.]
898,[234.]
899,[136.]
900,[134.]
901,[215.]
902,[263.]
903,[193.]
904,[146.]
905,[71.]
906,[147.]
907,[223.]
