frame,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,RAnkle_x,RAnkle_y,RAnkle_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c,LAnkle_x,LAnkle_y,LAnkle_c,REye_x,REye_y,REye_c,LEye_x,LEye_y,LEye_c,REar_x,REar_y,REar_c,LEar_x,LEar_y,LEar_c,LBigToe_x,LBigToe_y,LBigToe_c,LSmallToe_x,LSmallToe_y,LSmallToe_c,LHeel_x,LHeel_y,LHeel_c,RBigToe_x,RBigToe_y,RBigToe_c,RSmallToe_x,RSmallToe_y,RSmallToe_c,RHeel_x,RHeel_y,RHeel_c
3,0,0,0,1477.29,70.6197,0.271529,1456.97,68.3755,0.287654,1450.18,98.8777,0.231085,1479.57,107.93,0.150589,1495.4,74.004,0.240155,1503.32,106.794,0.19105,1494.26,109.063,0.0995393,1472.78,132.804,0.340997,1460.34,131.695,0.32241,1458.07,176.903,0.213331,1459.21,221.002,0.0678807,1487.47,133.948,0.360174,1487.49,184.812,0.23407,1485.21,223.268,0.0563595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.23,216.486,0.0615086
4,1652.57,236.824,0.828362,1651.43,285.497,0.702818,1598.33,286.604,0.63179,1588.16,354.429,0.309551,0,0,0,1704.59,286.612,0.431616,1740.75,256.074,0.55439,1695.54,236.823,0.197965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.31,224.415,0.866676,1667.29,228.881,0.829083,1624.3,237.954,0.680139,1685.34,243.633,0.598345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1380.11,240.204,0.895183,1380.08,322.811,0.695798,1328.03,325.029,0.555593,1325.81,394.039,0.0626321,0,0,0,1434.33,321.654,0.691038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.76,231.174,0.917868,1393.63,231.176,0.876586,1350.65,250.439,0.637382,1408.34,250.391,0.487243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1098.48,249.28,0.835647,1135.79,318.263,0.651886,1078.13,321.62,0.516756,1019.33,391.74,0.30212,976.381,387.237,0.057501,1196.86,312.6,0.542622,1200.28,399.651,0.133983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088.32,239.087,0.813661,1115.44,231.247,0.822736,1080.39,248.127,0.0588801,1149.37,241.376,0.774447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,622.425,227.775,0.744534,662.006,322.76,0.419582,587.385,322.777,0.224486,564.775,398.539,0.138001,586.235,276.404,0.717566,743.438,327.304,0.391005,810.119,413.252,0.0973422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.975,207.435,0.773592,646.198,202.952,0.885909,581.717,223.277,0.0973875,678.982,220.982,0.627803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1381.18,240.19,0.891017,1381.19,323.914,0.702484,1326.94,323.927,0.57634,1325.81,397.403,0.143747,0,0,0,1434.34,322.797,0.658736,1469.42,386.101,0.0631659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369.87,231.166,0.935451,1394.76,231.177,0.879116,1350.66,250.392,0.654766,1408.35,249.311,0.446914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1651.52,236.846,0.839679,1652.6,285.491,0.704999,1599.43,286.62,0.619539,1589.25,356.685,0.27387,0,0,0,1706.88,286.588,0.456116,1740.8,257.148,0.364898,1696.68,235.708,0.132097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641.28,224.415,0.865636,1667.29,228.884,0.833689,1624.28,237.978,0.641892,1685.38,243.618,0.609604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1098.47,249.267,0.840373,1134.68,320.487,0.664788,1073.62,327.282,0.483143,1018.23,396.29,0.241194,0,0,0,1196.86,312.573,0.538781,1199.14,397.402,0.125236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087.2,239.088,0.833365,1114.33,232.32,0.818546,1080.37,248.14,0.0566293,1149.36,240.245,0.795002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,619.074,230.019,0.856656,663.121,323.902,0.420804,587.383,322.771,0.258287,563.62,413.239,0.167572,0,0,0,743.424,327.298,0.401334,809.021,413.253,0.102926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598.704,211.93,0.714597,641.646,204.007,0.848852,0,0,0,676.719,220.978,0.635929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1381.24,239.088,0.863156,1380.11,325.019,0.698222,1326.93,325.03,0.587713,1324.64,399.666,0.164096,0,0,0,1435.46,323.899,0.637386,1470.52,386.096,0.0519205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369.91,230.102,0.951873,1395.85,231.145,0.896223,1350.65,250.429,0.634034,1408.33,254.907,0.456316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
